单位,中文名称,单位类型,补充说明,换算公式
watts_per_meter_per_kelvin,瓦特/米·开尔文,热导率,简单转换,基准单位
weeks,周,时间,简单转换,1 week = 7 days = 604800 s
west_african_cfa_franc,西非CFA法郎,货币,需要实时汇率，无法简单转换,无固定公式
wir_euro,WIR欧元,补充货币,需要特殊汇率，无法简单转换,无固定公式
wir_franc,WIR法郎,补充货币,需要特殊汇率，无法简单转换,无固定公式
womens_au,澳大利亚女装尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
womens_uk,英国女装尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
womens_us,美国女装尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
words,词,计数单位,简单转换,基准单位
x,倍,比例系数,简单转换,基准单位
yards,码,长度,简单转换,1 yd = 0.9144 m
years,年,时间,简单转换但年份长度不同,平均1年 = 365.2425天
yemeni_rial,也门里亚尔,货币,需要实时汇率，无法简单转换,无固定公式
yoctofarad,幺法,电容,简单转换,1 yF = 10⁻²⁴ F
yottafarad,尧法,电容,简单转换,1 YF = 10²⁴ F
youth_uk,英国青少年尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
youth_us,美国青少年尺码,服装尺码,需要尺寸对照表，无法简单转换,无固定公式
zambian_kwacha,赞比亚克瓦查,货币,需要实时汇率，无法简单转换,无固定公式
zeptofarad,仄法,电容,简单转换,1 zF = 10⁻²¹ F
zettafarad,泽法,电容,简单转换,1 ZF = 10²¹ F
zimbabwe_dollar,津巴布韦元,货币,需要实时汇率，无法简单转换,无固定公式
